电子产品名,价格（元）,销量（件）,时间,分类,品牌,原价（元）,折扣率（%）,评价数量,好评率（%）,发货地,保修期（月）
小米 投影仪 X2,2641,4473,2024/2/27,投影仪,小米,2967.47,11,228,89.8,成都,6
小米 笔记本电脑 X2,12018,8289,2024/5/22,笔记本电脑,小米,17911.32,32.9,213,82.54,北京,24
三星 电视 X4,14319,9891,2024/8/18,电视,三星,20799.8,31.16,977,97.95,杭州,6
小米 耳机 X4,455,1235,2024/12/14,耳机,小米,545.83,16.64,512,93.77,深圳,12
苹果 耳机 X2,366,1924,2024/5/3,耳机,苹果,448.95,18.48,829,92.8,杭州,24
苹果 智能手机 X6,3252,44958,2024/12/9,智能手机,苹果,4357.81,25.38,203,91.91,深圳,18
飞利浦 平板电脑 X8,7739,533,2024/9/12,平板电脑,飞利浦,9990.81,22.54,587,96.66,成都,6
苹果 投影仪 X6,5629,1675,2024/11/13,投影仪,苹果,6929.99,18.77,14,82.74,深圳,6
华为 电视 X9,11569,9067,2025/2/6,电视,华为,17029.51,32.07,148,81.43,广州,24
华为 笔记本电脑 X4,15710,13905,2025/1/28,笔记本电脑,华为,19461.48,19.28,806,91.12,武汉,12
戴尔 智能穿戴 X2,499,4205,2024/9/4,智能穿戴,戴尔,671.32,25.67,695,89.75,成都,18
飞利浦 平板电脑 X6,555,8538,2024/9/10,平板电脑,飞利浦,605.41,8.33,873,94.8,深圳,12
飞利浦 投影仪 X9,4750,2137,2024/8/23,投影仪,飞利浦,5389.18,11.86,771,87.94,上海,12
华为 智能手机 X1,3240,18843,2024/2/29,智能手机,华为,3616.03,10.4,694,88.16,上海,18
华为 投影仪 X10,8152,2841,2024/10/11,投影仪,华为,8460.38,3.65,471,80.41,上海,6
索尼 平板电脑 X5,1153,4828,2024/4/12,平板电脑,索尼,1558.54,26.02,893,91.6,成都,12
戴尔 笔记本电脑 X3,3907,14858,2025/1/14,笔记本电脑,戴尔,5230.63,25.31,399,83.5,北京,18
小米 智能手机 X10,6061,17830,2024/3/3,智能手机,小米,7479.57,18.97,511,83.53,北京,6
飞利浦 电视 X10,11090,9591,2024/9/24,电视,飞利浦,12983.58,14.58,665,82.3,广州,24
华为 智能家居 X7,128,1561,2024/9/23,智能家居,华为,146.52,12.64,765,86.93,广州,18
联想 投影仪 X4,9833,1752,2024/7/1,投影仪,联想,12628.96,22.14,799,96.94,成都,24
索尼 投影仪 X7,2346,705,2024/3/31,投影仪,索尼,3448.78,31.98,965,86.25,杭州,6
OPPO 智能手机 X9,1960,34083,2024/9/19,智能手机,OPPO,2198.09,10.83,228,87.74,北京,12
华为 智能家居 X8,4045,930,2024/7/22,智能家居,华为,4978.56,18.75,769,88.58,上海,12
戴尔 智能穿戴 X5,690,4725,2024/11/23,智能穿戴,戴尔,1020.08,32.36,771,98.53,广州,24
OPPO 智能手机 X8,4722,41460,2024/2/22,智能手机,OPPO,6308.89,25.15,675,98.24,广州,12
小米 智能穿戴 X1,854,3782,2024/8/3,智能穿戴,小米,1155.92,26.12,80,80.23,成都,6
三星 智能手机 X2,2144,32646,2024/4/1,智能手机,三星,2376.69,9.79,789,88.26,武汉,6
飞利浦 智能家居 X10,2424,2674,2024/11/24,智能家居,飞利浦,2949.43,17.81,526,83.3,深圳,12
戴尔 笔记本电脑 X9,6592,3697,2024/3/23,笔记本电脑,戴尔,7178.07,8.16,496,89.11,成都,24
小米 电视 X8,6848,414,2024/12/20,电视,小米,10010.7,31.59,21,89.84,上海,18
小米 耳机 X1,292,1593,2024/3/12,耳机,小米,415,29.64,622,91.08,武汉,12
苹果 智能家居 X9,4718,2581,2024/3/21,智能家居,苹果,6038.13,21.86,877,94.94,成都,6
三星 耳机 X10,427,1947,2024/9/14,耳机,三星,526.07,18.83,622,95.54,成都,24
小米 笔记本电脑 X5,7422,8889,2024/7/30,笔记本电脑,小米,10237.62,27.5,48,89.97,深圳,18
海尔 耳机 X3,356,2795,2024/12/1,耳机,海尔,404.37,11.96,368,95.27,深圳,12
联想 智能手机 X10,6438,37527,2024/5/1,智能手机,联想,8076.87,20.29,654,85.93,广州,24
小米 笔记本电脑 X1,12893,13221,2024/12/27,笔记本电脑,小米,13545.88,4.82,915,90.88,杭州,6
小米 耳机 X3,570,307,2024/12/9,耳机,小米,648.79,12.14,410,95.96,深圳,6
戴尔 平板电脑 X4,1439,4728,2024/4/8,平板电脑,戴尔,1724.16,16.54,690,97.69,杭州,18
OPPO 耳机 X1,88,2111,2024/8/11,耳机,OPPO,105.92,16.92,983,89.77,武汉,6
索尼 智能穿戴 X2,504,767,2024/10/14,智能穿戴,索尼,727.2,30.69,171,91.02,北京,12
索尼 电视 X7,7127,7001,2024/12/1,电视,索尼,8700.69,18.09,912,86.06,深圳,12
三星 智能家居 X4,3972,1898,2024/11/21,智能家居,三星,5350.12,25.76,605,96.87,杭州,24
戴尔 电视 X1,5696,3545,2024/11/27,电视,戴尔,6574.55,13.36,475,90.88,成都,12
海尔 笔记本电脑 X5,14899,14469,2024/8/15,笔记本电脑,海尔,16456.22,9.46,489,95.23,武汉,12
戴尔 平板电脑 X4,5580,7758,2024/4/26,平板电脑,戴尔,7520.93,25.81,947,83.52,杭州,6
三星 智能手机 X10,8110,41630,2024/11/1,智能手机,三星,10413.32,22.12,307,94.1,深圳,24
小米 智能手机 X4,1673,7447,2024/12/16,智能手机,小米,2006.1,16.6,250,90.93,武汉,18
海尔 平板电脑 X5,3435,4431,2024/7/30,平板电脑,海尔,4141.87,17.07,968,97.58,北京,12
海尔 笔记本电脑 X6,16913,17770,2024/8/18,笔记本电脑,海尔,22939.37,26.27,643,89.56,深圳,12
小米 智能家居 X6,2825,684,2024/2/29,智能家居,小米,2830.51,0.19,128,91.81,广州,6
联想 智能穿戴 X10,818,4407,2024/10/31,智能穿戴,联想,901.67,9.28,334,91.8,广州,18
海尔 电视 X2,10246,7332,2024/10/15,电视,海尔,14146.98,27.57,587,91.14,武汉,6
华为 智能手机 X5,6713,32732,2024/9/5,智能手机,华为,8369.53,19.79,995,94.84,成都,24
三星 耳机 X7,612,2267,2024/3/15,耳机,三星,916.4,33.22,484,88,广州,6
华为 智能手机 X8,6188,44945,2024/8/3,智能手机,华为,6919.74,10.57,486,81.43,深圳,24
华为 智能家居 X3,4488,83,2024/9/26,智能家居,华为,5392.91,16.78,535,96.04,武汉,12
飞利浦 耳机 X6,543,712,2024/8/24,耳机,飞利浦,587.46,7.57,32,80.02,上海,12
飞利浦 电视 X2,12029,5212,2024/6/21,电视,飞利浦,12236.53,1.7,748,93.16,武汉,6
华为 笔记本电脑 X8,16735,1787,2024/7/23,笔记本电脑,华为,22653.82,26.13,559,98.5,武汉,24
小米 电视 X3,14540,1303,2024/9/9,电视,小米,17102,14.98,383,92.07,成都,12
索尼 智能穿戴 X10,399,1559,2024/3/28,智能穿戴,索尼,547.3,27.1,846,97.39,广州,18
华为 耳机 X1,699,2659,2024/8/10,耳机,华为,966.45,27.67,546,89.5,深圳,24
飞利浦 平板电脑 X1,2777,2658,2024/9/12,平板电脑,飞利浦,3789.84,26.73,712,83.41,广州,12
海尔 平板电脑 X7,7594,8013,2024/5/20,平板电脑,海尔,8263.57,8.1,890,90.15,深圳,24
索尼 平板电脑 X8,7840,9085,2024/7/27,平板电脑,索尼,9813.98,20.11,666,87.24,成都,6
苹果 笔记本电脑 X8,16760,6951,2024/9/21,笔记本电脑,苹果,17215.53,2.65,893,98.29,武汉,18
索尼 耳机 X4,407,829,2024/10/24,耳机,索尼,581.13,29.96,611,80.74,杭州,18
索尼 电视 X10,3796,9903,2024/11/30,电视,索尼,5670.59,33.06,891,95.33,武汉,6
飞利浦 电视 X7,4286,6667,2025/2/4,电视,飞利浦,5774.21,25.77,711,90.42,武汉,12
三星 笔记本电脑 X3,9524,18860,2024/7/4,笔记本电脑,三星,13106.19,27.33,320,93.51,成都,12
戴尔 智能穿戴 X9,901,1700,2024/5/6,智能穿戴,戴尔,1210.2,25.55,505,84.11,武汉,24
OPPO 智能手机 X5,1889,4082,2024/9/3,智能手机,OPPO,1974.17,4.31,882,90.72,北京,6
戴尔 电视 X4,4365,2137,2024/3/24,电视,戴尔,6418.2,31.99,297,86.26,广州,18
戴尔 笔记本电脑 X2,10396,3598,2024/4/17,笔记本电脑,戴尔,15236.28,31.77,771,80.31,杭州,24
OPPO 耳机 X2,741,1253,2024/10/30,耳机,OPPO,946.8,21.74,657,83.57,上海,6
苹果 耳机 X9,150,1045,2025/2/2,耳机,苹果,166.61,9.97,639,90.84,深圳,24
飞利浦 智能穿戴 X8,858,3637,2024/3/24,智能穿戴,飞利浦,1231.76,30.34,943,90.7,广州,6
三星 笔记本电脑 X7,18591,17558,2024/10/3,笔记本电脑,三星,24678.73,24.67,512,88.45,成都,18
索尼 智能穿戴 X8,360,4912,2025/1/9,智能穿戴,索尼,482.24,25.35,311,85.72,杭州,12
海尔 耳机 X3,885,2115,2024/2/13,耳机,海尔,955.85,7.41,450,92.81,深圳,6
飞利浦 电视 X2,14027,2837,2024/7/31,电视,飞利浦,15995.78,12.31,24,82.98,广州,18
苹果 智能手机 X4,1111,31107,2024/5/6,智能手机,苹果,1422.54,21.9,205,98.11,深圳,24
索尼 投影仪 X5,1237,2639,2024/6/29,投影仪,索尼,1707.39,27.55,302,83.62,杭州,6
苹果 投影仪 X8,1361,4615,2025/2/7,投影仪,苹果,1938.29,29.78,939,88.74,深圳,6
飞利浦 笔记本电脑 X2,9575,12741,2024/9/9,笔记本电脑,飞利浦,13422.99,28.67,137,94.14,杭州,18
海尔 笔记本电脑 X4,13126,6385,2025/1/8,笔记本电脑,海尔,15314.1,14.29,162,92.81,杭州,18
小米 智能穿戴 X8,439,3990,2025/2/7,智能穿戴,小米,524.18,16.25,463,98.81,武汉,18
索尼 电视 X5,7480,4042,2024/10/31,电视,索尼,8042.28,6.99,243,90.4,广州,6
三星 平板电脑 X3,7920,8633,2024/9/5,平板电脑,三星,8667.57,8.62,580,98.25,广州,24
海尔 电视 X4,13653,2597,2024/10/22,电视,海尔,17861.24,23.56,670,88.33,深圳,18
小米 平板电脑 X7,2346,627,2024/2/21,平板电脑,小米,2766.34,15.19,866,87.72,成都,24
索尼 智能家居 X5,2603,1740,2024/6/15,智能家居,索尼,3414.94,23.78,594,82.43,北京,6
索尼 智能穿戴 X2,119,811,2024/6/2,智能穿戴,索尼,135.05,11.88,949,86.54,深圳,6
华为 智能家居 X8,3217,313,2024/11/22,智能家居,华为,3823.17,15.86,651,80.81,深圳,24
索尼 耳机 X1,136,425,2024/5/7,耳机,索尼,155.98,12.81,46,96.14,深圳,12
飞利浦 电视 X5,1798,429,2024/5/12,电视,飞利浦,1934.27,7.05,405,91.98,成都,6
OPPO 智能手机 X5,1203,16629,2024/3/8,智能手机,OPPO,1592.86,24.48,224,87.23,上海,6
华为 电视 X1,8741,1343,2024/5/3,电视,华为,10631.9,17.79,317,93.18,北京,6
联想 智能家居 X9,4792,283,2024/2/29,智能家居,联想,5171.78,7.34,149,88.76,成都,24
索尼 智能穿戴 X7,198,4551,2024/4/16,智能穿戴,索尼,253.81,21.99,62,84.84,上海,6
苹果 平板电脑 X10,4343,3816,2024/11/3,平板电脑,苹果,5162.48,15.87,421,82.89,深圳,24
海尔 笔记本电脑 X1,13323,10055,2025/1/2,笔记本电脑,海尔,14503.51,8.14,815,91.88,杭州,12
戴尔 智能家居 X8,1632,2536,2024/10/25,智能家居,戴尔,1734.53,5.91,205,96.89,广州,18
小米 投影仪 X10,4265,2861,2024/3/31,投影仪,小米,5048.71,15.52,545,87.5,广州,24
索尼 耳机 X9,762,248,2024/11/4,耳机,索尼,1067.39,28.61,821,92.4,深圳,24
戴尔 平板电脑 X6,5818,4033,2025/1/7,平板电脑,戴尔,6661.82,12.67,240,91.77,武汉,6
华为 电视 X4,10298,3665,2024/10/29,电视,华为,11602.59,11.24,396,80.66,北京,6
戴尔 投影仪 X6,7141,2986,2024/4/22,投影仪,戴尔,8220.77,13.13,876,85.4,上海,24
联想 电视 X3,10371,6890,2024/8/9,电视,联想,14431.7,28.14,875,85.77,上海,24
小米 电视 X6,2642,8911,2024/12/5,电视,小米,2805.78,5.84,747,95.14,上海,24
飞利浦 平板电脑 X4,3570,9571,2024/11/9,平板电脑,飞利浦,3990.03,10.53,868,97.96,武汉,18
小米 智能穿戴 X8,134,1755,2024/11/5,智能穿戴,小米,177.16,24.36,335,84.91,成都,6
华为 耳机 X3,406,2407,2024/4/2,耳机,华为,471.37,13.87,329,93.4,杭州,24
华为 耳机 X1,227,2350,2024/4/10,耳机,华为,277,18.05,723,95.42,武汉,18
小米 笔记本电脑 X8,16251,7357,2024/11/25,笔记本电脑,小米,22186.6,26.75,191,83.12,杭州,18
华为 智能家居 X7,2775,1429,2024/11/19,智能家居,华为,4053.05,31.53,268,93.1,广州,18
戴尔 智能手机 X7,4301,21248,2024/4/19,智能手机,戴尔,5125.74,16.09,445,95.6,广州,12
飞利浦 电视 X1,1808,6985,2024/10/13,电视,飞利浦,1923.22,5.99,73,96.32,武汉,24
苹果 笔记本电脑 X9,16163,12614,2024/3/5,笔记本电脑,苹果,23835.06,32.19,294,83.54,广州,12
戴尔 智能家居 X2,3746,2796,2024/3/6,智能家居,戴尔,5505.39,31.96,184,93.26,成都,18
苹果 投影仪 X8,2642,3583,2024/7/11,投影仪,苹果,3771.13,29.94,626,97.84,武汉,18
三星 电视 X10,8524,3571,2024/9/4,电视,三星,10852.81,21.46,371,98.3,杭州,6
华为 平板电脑 X2,1902,7659,2024/4/9,平板电脑,华为,2263.62,15.98,27,93.59,深圳,12
三星 耳机 X2,251,575,2024/11/1,耳机,三星,253.84,1.12,223,82.48,杭州,12
飞利浦 笔记本电脑 X7,10521,12243,2025/1/23,笔记本电脑,飞利浦,12065.08,12.8,824,86.88,北京,12
戴尔 耳机 X9,203,2931,2024/12/12,耳机,戴尔,233.73,13.15,703,98,武汉,6
飞利浦 智能穿戴 X1,772,4387,2024/12/22,智能穿戴,飞利浦,811.24,4.84,548,96.54,成都,24
飞利浦 智能穿戴 X4,313,2509,2024/2/28,智能穿戴,飞利浦,331.43,5.56,571,92.89,上海,12
海尔 电视 X7,11408,8588,2024/4/29,电视,海尔,16788.32,32.05,206,95.02,深圳,18
海尔 笔记本电脑 X7,5004,7466,2024/12/17,笔记本电脑,海尔,5321.59,5.97,898,91.37,北京,6
联想 电视 X6,11980,1666,2024/4/12,电视,联想,14270.76,16.05,928,95.13,杭州,24
华为 平板电脑 X7,3710,3250,2024/7/10,平板电脑,华为,4962.6,25.24,547,86.18,杭州,6
飞利浦 耳机 X3,652,1672,2024/3/17,耳机,飞利浦,854.32,23.68,638,88.88,杭州,12
华为 智能手机 X4,8442,47237,2024/11/8,智能手机,华为,10308.93,18.11,105,90.56,北京,6
戴尔 笔记本电脑 X2,17660,1341,2024/3/9,笔记本电脑,戴尔,24705.63,28.52,867,81.34,广州,18
小米 平板电脑 X3,2129,607,2024/10/24,平板电脑,小米,2624.93,18.89,765,89.44,成都,24
戴尔 电视 X9,1974,573,2024/3/29,电视,戴尔,2729.63,27.68,26,96.37,广州,24
戴尔 智能家居 X10,3714,1982,2024/3/1,智能家居,戴尔,5458.5,31.96,22,94.2,武汉,24
联想 电视 X5,9376,4925,2024/6/15,电视,联想,13433.09,30.2,913,90.83,杭州,12
华为 笔记本电脑 X10,16501,12644,2024/12/11,笔记本电脑,华为,19266.4,14.35,33,98.59,成都,24
飞利浦 投影仪 X8,2306,1553,2024/5/8,投影仪,飞利浦,2957.27,22.02,784,94.02,北京,18
三星 智能手机 X9,2605,44461,2024/7/6,智能手机,三星,2977.06,12.5,793,93.96,广州,24
飞利浦 投影仪 X6,1349,2403,2024/8/14,投影仪,飞利浦,1877.94,28.17,522,84.42,成都,24
飞利浦 智能家居 X4,327,2328,2024/9/28,智能家居,飞利浦,442.52,26.11,392,95.58,武汉,24
OPPO 智能穿戴 X7,782,4326,2024/3/9,智能穿戴,OPPO,890.73,12.21,466,94.67,深圳,12
索尼 平板电脑 X4,6975,1401,2024/3/31,平板电脑,索尼,10363.32,32.7,506,80.5,杭州,24
索尼 投影仪 X2,8041,1750,2024/8/13,投影仪,索尼,9989.45,19.51,534,89.31,广州,18
小米 智能手机 X6,2131,10227,2024/6/27,智能手机,小米,2600.95,18.07,926,91.49,广州,18
小米 智能家居 X8,574,331,2024/4/17,智能家居,小米,831.51,30.97,242,97.12,成都,6
飞利浦 投影仪 X9,5409,3208,2024/4/25,投影仪,飞利浦,7724.49,29.98,466,86.02,北京,24
索尼 智能家居 X5,1068,2925,2024/12/20,智能家居,索尼,1253.29,14.78,357,86.16,深圳,24
戴尔 投影仪 X9,9383,3655,2024/3/24,投影仪,戴尔,13149.91,28.65,610,95.09,上海,12
小米 智能家居 X3,2470,2237,2024/3/10,智能家居,小米,2863.2,13.73,449,84.07,北京,6
华为 耳机 X2,987,173,2024/12/20,耳机,华为,1037.6,4.88,500,84.87,北京,12
飞利浦 笔记本电脑 X7,15889,18449,2024/11/30,笔记本电脑,飞利浦,21905.72,27.47,638,98.69,北京,24
索尼 耳机 X7,370,1841,2024/7/24,耳机,索尼,533.69,30.67,380,83.98,杭州,18
联想 智能手机 X2,9712,12074,2024/4/27,智能手机,联想,10760.13,9.74,826,82.88,深圳,12
索尼 智能穿戴 X2,848,4039,2024/12/13,智能穿戴,索尼,1049.07,19.17,183,80.99,北京,24
戴尔 智能家居 X4,3390,2410,2024/5/23,智能家居,戴尔,3912.91,13.36,817,89.2,上海,12
OPPO 平板电脑 X6,5158,6389,2024/4/6,平板电脑,OPPO,7406.34,30.36,214,86.36,杭州,24
华为 智能穿戴 X10,237,2230,2024/10/13,智能穿戴,华为,347.24,31.75,266,86.98,上海,12
飞利浦 电视 X5,3507,6588,2024/8/5,电视,飞利浦,4476.27,21.65,499,80.31,成都,24
飞利浦 耳机 X2,93,2709,2024/5/22,耳机,飞利浦,117.07,20.56,26,93.74,上海,6
小米 平板电脑 X1,4985,6827,2024/3/4,平板电脑,小米,7115.76,29.94,861,86.3,北京,6
飞利浦 智能手机 X8,8996,10948,2024/7/5,智能手机,飞利浦,11382.95,20.97,93,87.79,杭州,24
飞利浦 电视 X3,3105,9009,2024/11/21,电视,飞利浦,3751.1,17.22,213,92.35,武汉,12
海尔 耳机 X10,645,1844,2024/6/21,耳机,海尔,876.41,26.4,68,81.66,上海,12
海尔 投影仪 X2,7219,3004,2024/8/31,投影仪,海尔,7320.05,1.38,578,97.5,上海,12
索尼 笔记本电脑 X3,10002,9446,2024/10/15,笔记本电脑,索尼,11012.37,9.17,185,89.84,上海,24
戴尔 智能手机 X3,9523,20695,2024/5/9,智能手机,戴尔,13714.39,30.56,939,91.91,上海,24
苹果 投影仪 X1,8427,4132,2025/1/6,投影仪,苹果,10014.05,15.85,577,97.12,杭州,24
华为 智能手机 X1,9994,13470,2024/11/30,智能手机,华为,12428.07,19.59,827,82.44,武汉,18
海尔 耳机 X9,441,2619,2024/5/4,耳机,海尔,617.84,28.62,901,87.05,杭州,18
海尔 智能穿戴 X4,859,2441,2024/10/5,智能穿戴,海尔,1009.12,14.88,64,96.76,上海,18
华为 智能家居 X5,3980,2339,2025/1/22,智能家居,华为,4305.46,7.56,84,92,上海,24
三星 耳机 X7,382,2221,2024/9/17,耳机,三星,401.92,4.96,185,98.96,成都,6
联想 智能手机 X8,9259,6405,2025/1/31,智能手机,联想,9752.25,5.06,341,95.65,成都,24
戴尔 笔记本电脑 X3,9182,12407,2024/5/14,笔记本电脑,戴尔,9611.9,4.47,60,93.59,北京,6
飞利浦 投影仪 X8,4909,3368,2024/9/15,投影仪,飞利浦,6623.11,25.88,200,85.92,广州,12
联想 笔记本电脑 X9,16439,11942,2024/2/19,笔记本电脑,联想,18749.09,12.32,773,84.23,成都,12
三星 平板电脑 X10,3765,4977,2024/9/6,平板电脑,三星,5447.01,30.88,756,96.67,广州,12
华为 电视 X9,2394,929,2024/4/17,电视,华为,3005.95,20.36,835,89.09,武汉,18
OPPO 电视 X3,14957,2441,2024/10/6,电视,OPPO,19668.25,23.95,199,94.34,武汉,6
飞利浦 智能手机 X8,2945,42434,2024/10/26,智能手机,飞利浦,3552.1,17.09,249,95.95,杭州,12
三星 耳机 X7,472,1859,2025/2/2,耳机,三星,476.25,0.89,305,97.14,上海,6
小米 耳机 X7,783,2115,2024/12/11,耳机,小米,1040.26,24.73,168,81.28,深圳,18
OPPO 平板电脑 X8,2622,3278,2024/12/26,平板电脑,OPPO,2837.13,7.58,74,89.17,成都,6
华为 耳机 X4,62,99,2024/12/13,耳机,华为,77.7,20.21,616,81.93,广州,24
索尼 投影仪 X10,6418,971,2024/11/21,投影仪,索尼,8618.86,25.54,518,88.31,武汉,6
飞利浦 智能穿戴 X6,639,3459,2024/4/13,智能穿戴,飞利浦,936.69,31.78,644,91.53,北京,24
小米 智能手机 X4,1962,3341,2024/9/19,智能手机,小米,2298.76,14.65,163,85.44,广州,18
飞利浦 笔记本电脑 X8,17392,12244,2025/1/16,笔记本电脑,飞利浦,20072.36,13.35,681,97.96,广州,6
OPPO 笔记本电脑 X2,17408,7708,2024/9/5,笔记本电脑,OPPO,20626.33,15.6,82,80.5,深圳,12
华为 智能家居 X3,293,1082,2024/10/12,智能家居,华为,406.97,28.01,774,84.02,杭州,18
三星 笔记本电脑 X4,3302,11454,2024/11/19,笔记本电脑,三星,4179.97,21,30,82.43,杭州,24
苹果 智能手机 X2,6459,23598,2024/6/27,智能手机,苹果,8310.61,22.28,368,91.22,杭州,6
小米 投影仪 X7,1757,3024,2024/3/23,投影仪,小米,2083.23,15.66,747,97.15,杭州,6
华为 投影仪 X2,1988,1557,2024/4/13,投影仪,华为,1993.96,0.3,514,96.22,深圳,12
华为 智能手机 X8,6058,6081,2024/9/25,智能手机,华为,8605.76,29.61,428,97.46,广州,18
小米 电视 X2,14480,5356,2024/5/10,电视,小米,14504.97,0.17,243,97.67,武汉,6
苹果 智能家居 X3,2806,2533,2024/4/17,智能家居,苹果,3377.21,16.91,790,90.8,上海,6
OPPO 平板电脑 X1,2840,8206,2025/1/14,平板电脑,OPPO,3183.98,10.8,569,91.82,深圳,12
飞利浦 笔记本电脑 X8,7323,13212,2024/12/5,笔记本电脑,飞利浦,10142.24,27.8,864,80.92,武汉,6
小米 平板电脑 X4,4605,995,2024/10/17,平板电脑,小米,4701.8,2.06,993,87.67,深圳,12
OPPO 智能穿戴 X10,574,4103,2024/4/17,智能穿戴,OPPO,771.34,25.58,93,88.7,广州,24
飞利浦 笔记本电脑 X6,3664,13231,2025/1/29,笔记本电脑,飞利浦,4516.21,18.87,719,93.75,北京,12
华为 耳机 X4,871,2984,2024/6/9,耳机,华为,1218.9,28.54,670,88.43,武汉,12
OPPO 笔记本电脑 X2,12686,18468,2025/1/14,笔记本电脑,OPPO,13359.45,5.04,532,92.18,杭州,18
海尔 智能穿戴 X7,744,3866,2024/5/21,智能穿戴,海尔,818.39,9.09,107,92.51,武汉,12
海尔 平板电脑 X4,6965,5180,2024/9/3,平板电脑,海尔,7162.17,2.75,560,82.91,深圳,24
戴尔 投影仪 X10,9053,3880,2024/4/28,投影仪,戴尔,9486.92,4.57,97,88.46,北京,18
华为 智能穿戴 X4,629,3176,2024/3/16,智能穿戴,华为,827.16,23.96,489,87.5,成都,12
三星 平板电脑 X5,1206,3201,2024/9/8,平板电脑,三星,1607.81,24.99,418,95.47,成都,6
小米 笔记本电脑 X3,18643,9183,2024/4/20,笔记本电脑,小米,21033.14,11.36,134,80.82,武汉,6
联想 智能穿戴 X1,292,2307,2025/2/8,智能穿戴,联想,340.7,14.29,443,91.89,深圳,18
华为 平板电脑 X3,1896,775,2024/4/17,平板电脑,华为,2564.9,26.08,701,80.47,成都,24
小米 耳机 X6,766,496,2024/5/15,耳机,小米,800.79,4.34,543,80.36,广州,24
飞利浦 耳机 X4,610,1264,2024/10/7,耳机,飞利浦,817.57,25.39,583,93.02,武汉,12
索尼 智能手机 X7,2793,44747,2024/9/22,智能手机,索尼,2835.2,1.49,786,85.08,北京,12
小米 投影仪 X4,5603,3404,2024/6/6,投影仪,小米,6724.64,16.68,758,80.36,武汉,24
戴尔 智能手机 X1,7132,34527,2025/1/12,智能手机,戴尔,10499.9,32.08,720,82.36,北京,24
小米 平板电脑 X8,1146,8876,2024/6/28,平板电脑,小米,1692.67,32.3,557,94.62,北京,12
海尔 电视 X5,4355,272,2024/12/21,电视,海尔,5099.21,14.59,311,98.44,上海,18
OPPO 平板电脑 X10,3486,9847,2024/8/11,平板电脑,OPPO,4519.32,22.86,171,98.55,上海,24
索尼 电视 X3,2291,4310,2024/6/2,电视,索尼,2350.92,2.55,579,93.09,武汉,12
苹果 耳机 X3,718,2858,2024/12/13,耳机,苹果,1073.78,33.13,492,86.35,深圳,18
OPPO 电视 X7,4143,8091,2024/6/18,电视,OPPO,5336.8,22.37,292,84.77,广州,6
苹果 投影仪 X5,1959,3821,2024/6/4,投影仪,苹果,2607.41,24.87,404,96.39,杭州,24
苹果 智能穿戴 X5,252,1324,2024/10/19,智能穿戴,苹果,367.22,31.38,722,88.04,成都,18
华为 智能家居 X4,1635,2645,2024/4/29,智能家居,华为,1649.87,0.9,711,93.14,北京,18
OPPO 电视 X5,12446,7476,2024/11/10,电视,OPPO,14174.99,12.2,959,93.28,成都,18
小米 智能手机 X8,2270,25788,2024/10/4,智能手机,小米,2403.04,5.54,737,96.4,成都,12
戴尔 智能家居 X9,2925,1745,2024/10/27,智能家居,戴尔,3991.17,26.71,251,95.52,广州,18
联想 投影仪 X8,8407,923,2024/3/3,投影仪,联想,10107.69,16.83,169,88.19,成都,6
戴尔 智能手机 X7,9207,17230,2024/7/8,智能手机,戴尔,10786.7,14.64,569,90.25,上海,18
小米 耳机 X8,560,1457,2025/1/31,耳机,小米,634.04,11.68,501,96.25,武汉,12
小米 投影仪 X10,5419,1549,2024/11/29,投影仪,小米,6330.11,14.39,251,88.8,上海,6
苹果 智能手机 X7,4856,4478,2024/4/20,智能手机,苹果,6515.84,25.47,791,89.07,北京,18
海尔 笔记本电脑 X9,18231,851,2024/8/19,笔记本电脑,海尔,23477.7,22.35,990,94.99,杭州,12
索尼 耳机 X9,187,1015,2024/11/2,耳机,索尼,241,22.41,626,88.73,北京,24
苹果 笔记本电脑 X3,7057,13660,2025/1/29,笔记本电脑,苹果,7464.13,5.45,82,81.46,杭州,24
三星 耳机 X4,283,376,2024/5/13,耳机,三星,385.35,26.56,413,96.69,广州,6
小米 智能穿戴 X4,687,4535,2024/7/20,智能穿戴,小米,1003.49,31.54,821,94.52,武汉,12
戴尔 平板电脑 X8,7372,5071,2024/4/1,平板电脑,戴尔,10990.35,32.92,848,87.86,上海,6
戴尔 智能家居 X3,2432,1944,2024/12/7,智能家居,戴尔,2831.65,14.11,215,82.37,广州,18
苹果 智能穿戴 X4,979,2261,2024/11/29,智能穿戴,苹果,1011.36,3.2,409,94.66,成都,24
索尼 笔记本电脑 X8,5423,5598,2024/4/26,笔记本电脑,索尼,5457.95,0.64,290,96.31,上海,18
联想 平板电脑 X9,6181,5953,2024/5/8,平板电脑,联想,7309.77,15.44,564,84.46,广州,24
小米 智能穿戴 X7,671,481,2024/9/3,智能穿戴,小米,850.05,21.06,53,90.24,深圳,12
海尔 笔记本电脑 X5,8775,17975,2024/6/28,笔记本电脑,海尔,10727.81,18.2,666,90.82,上海,12
索尼 智能穿戴 X8,422,2690,2024/5/19,智能穿戴,索尼,522.43,19.22,964,94.52,成都,12
索尼 智能手机 X8,7081,29909,2024/9/22,智能手机,索尼,9140.82,22.53,454,98.09,成都,12
苹果 智能穿戴 X7,191,1367,2024/6/19,智能穿戴,苹果,198.67,3.86,29,91.15,成都,12
